date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:09:21	2722/2722	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jun%202025%2005:09:19%20GMT	https://docs.obsidian.md/Plugins/Getting+started/Build+a+plugin	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/docs.obsidian.md/Plugins/Getting+started/Build+a+plugin.html	(from )
01:09:22	43/43	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jun%202025%2005:09:20%20GMT	https://docs.obsidian.md/robots.txt		(from )
01:09:24	129807/129807	---MCZ	200	added ('OK')	text/css	etag:W/%221fb0f-19552f94230%22	https://publish.obsidian.md/app.css?f5681b00df094b246798	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish.obsidian.md/app3885.css	(from https://docs.obsidian.md/Plugins/Getting+started/Build+a+plugin)
01:09:24	1782/1782	---MCZ	200	added ('OK')	text/css	date:Sun,%2015%20Jun%202025%2010:05:50%20GMT	https://publish-01.obsidian.md/access/caa27d6312fe5c26ebc657cc609543be/publish.css	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish-01.obsidian.md/access/caa27d6312fe5c26ebc657cc609543be/publish.css	(from https://docs.obsidian.md/Plugins/Getting+started/Build+a+plugin)
01:09:25	715730/715730	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aebd2-19552f94230%22	https://publish.obsidian.md/app.js?f5681b00df094b246798	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish.obsidian.md/app3885.js	(from https://docs.obsidian.md/Plugins/Getting+started/Build+a+plugin)
01:09:25	1105/1105	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Jun%202025%2013:40:54%20GMT	https://publish-01.obsidian.md/access/caa27d6312fe5c26ebc657cc609543be/favicon-96x96.png	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish-01.obsidian.md/access/caa27d6312fe5c26ebc657cc609543be/favicon-96x96.png	(from https://docs.obsidian.md/Plugins/Getting+started/Build+a+plugin)
01:09:27	106876/106876	---M--	200	added ('OK')	font/woff2	etag:W/%221a17c-194994478c8%22	https://publish.obsidian.md/public/fonts/cb10ffd7684cd9836a05.woff2	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish.obsidian.md/public/fonts/cb10ffd7684cd9836a05.woff2	(from https://publish.obsidian.md/app.css?f5681b00df094b246798)
01:09:27	105924/105924	---M--	200	added ('OK')	font/woff2	etag:W/%2219dc4-194994478c8%22	https://publish.obsidian.md/public/fonts/293fd13dbca5a3e450ef.woff2	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish.obsidian.md/public/fonts/293fd13dbca5a3e450ef.woff2	(from https://publish.obsidian.md/app.css?f5681b00df094b246798)
01:09:27	105804/105804	---M--	200	added ('OK')	font/woff2	etag:W/%2219d4c-194994478c8%22	https://publish.obsidian.md/public/fonts/b5f0f109bc88052d4000.woff2	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish.obsidian.md/public/fonts/b5f0f109bc88052d4000.woff2	(from https://publish.obsidian.md/app.css?f5681b00df094b246798)
01:09:27	98868/98868	---M--	200	added ('OK')	font/woff2	etag:W/%2218234-194994478c8%22	https://publish.obsidian.md/public/fonts/c8ba52b05a9ef10f4758.woff2	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish.obsidian.md/public/fonts/c8ba52b05a9ef10f4758.woff2	(from https://publish.obsidian.md/app.css?f5681b00df094b246798)
01:09:27	315/315	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2213b-194994478c8%22	https://publish.obsidian.md/public/images/6155340132a851f6089e.svg	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish.obsidian.md/public/images/6155340132a851f6089e.svg	(from https://publish.obsidian.md/app.css?f5681b00df094b246798)
01:09:28	278/278	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22116-194994478c8%22	https://publish.obsidian.md/public/images/2308ab1944a6bfa5c5b8.svg	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish.obsidian.md/public/images/2308ab1944a6bfa5c5b8.svg	(from https://publish.obsidian.md/app.css?f5681b00df094b246798)
01:09:28	7169/7169	---M--	200	added ('OK')	image/png	etag:W/%221c01-194994478c8%22	https://publish.obsidian.md/public/images/10a4c7dfa70cedab4d48.png	C:/Users/Lilly/OneDrive/Documents/HelpDocs/Obsidian/publish.obsidian.md/public/images/10a4c7dfa70cedab4d48.png	(from https://publish.obsidian.md/app.css?f5681b00df094b246798)
01:09:28	1290/1290	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jun%202025%2003:43:22%20GMT	https://publish.obsidian.md/robots.txt		(from https://publish.obsidian.md/app.css?f5681b00df094b246798)
